, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets, cibil_category
2478,5, Graduate, No,7400000,27100000,4,320, Approved,34600000,34400000,Poor
2479,2, Graduate, No,2700000,9300000,16,656, Approved,10000000,10200000,Good
2480,3, Graduate, No,3400000,8900000,6,896, Approved,14400000,9000000,Excellent
2481,3, Not Graduate, Yes,2100000,7400000,4,320, Approved,8500000,6000000,Poor
2482,2, Not Graduate, No,3100000,10500000,10,751, Approved,10600000,11400000,Excellent
2483,5, Not Graduate, No,4700000,17400000,2,523, Approved,16100000,17600000,Poor
2484,5, Graduate, No,3100000,10500000,6,584, Approved,13800000,9800000,Fair
2485,2, Not Graduate, No,5700000,20400000,2,630, Approved,25500000,6100000,Fair
2486,3, Graduate, Yes,2300000,8000000,14,472, Rejected,9500000,7700000,Poor
2487,0, Not Graduate, Yes,6600000,18500000,16,802, Approved,31500000,15700000,Excellent
2488,2, Graduate, Yes,2700000,6400000,18,547, Rejected,10900000,6700000,Poor
2489,1, Not Graduate, Yes,800000,2800000,16,726, Approved,4300000,3300000,Good
2490,1, Graduate, No,6600000,18500000,8,712, Approved,32000000,5500000,Good
2491,3, Graduate, No,3900000,10700000,6,790, Approved,15200000,12500000,Excellent
2492,5, Not Graduate, No,200000,600000,16,396, Rejected,700000,0,Poor
2493,3, Graduate, No,2000000,4200000,6,831, Approved,8100000,3000000,Excellent
2494,2, Graduate, Yes,9100000,20900000,20,632, Approved,43200000,4600000,Fair
2495,3, Graduate, No,4700000,10800000,8,527, Rejected,18400000,16400000,Poor
2496,3, Not Graduate, Yes,3200000,11100000,6,708, Approved,9600000,14600000,Good
2497,2, Not Graduate, No,1700000,4200000,14,829, Approved,6200000,1800000,Excellent
2498,1, Not Graduate, No,2600000,8100000,12,854, Approved,8800000,9600000,Excellent
2499,3, Not Graduate, Yes,2700000,6700000,14,899, Approved,8000000,6600000,Excellent
2500,0, Not Graduate, Yes,3600000,13400000,6,589, Approved,15200000,3600000,Fair
2501,4, Graduate, Yes,7200000,26000000,6,571, Approved,26800000,4700000,Fair
2502,2, Not Graduate, Yes,2500000,6400000,6,708, Approved,13400000,7100000,Good
2503,2, Not Graduate, No,5500000,19600000,16,328, Rejected,14600000,7200000,Poor
2504,3, Graduate, Yes,9200000,33500000,8,564, Approved,41200000,36000000,Fair
2505,3, Not Graduate, No,9000000,19000000,8,693, Approved,36800000,22800000,Good
2506,4, Not Graduate, Yes,5900000,15000000,14,626, Approved,25800000,21000000,Fair
2507,4, Graduate, No,5600000,15600000,12,470, Rejected,21600000,20600000,Poor
2508,2, Not Graduate, Yes,3200000,12500000,8,849, Approved,14800000,5700000,Excellent
2509,5, Not Graduate, No,9100000,27800000,16,547, Rejected,41300000,28900000,Poor
2510,0, Not Graduate, Yes,4600000,15100000,2,417, Approved,18400000,9500000,Poor
2511,4, Graduate, No,7300000,14900000,2,358, Rejected,27700000,25900000,Poor
2512,5, Not Graduate, Yes,1300000,3100000,16,826, Approved,6500000,1900000,Excellent
2513,0, Not Graduate, No,1800000,4200000,6,836, Approved,8800000,3200000,Excellent
2514,3, Graduate, No,500000,1700000,10,509, Rejected,1700000,700000,Poor
2515,2, Not Graduate, Yes,5700000,20500000,20,581, Approved,19900000,23000000,Fair
2516,4, Graduate, No,300000,1100000,4,359, Approved,1200000,100000,Poor
2517,5, Graduate, Yes,2100000,7100000,10,517, Rejected,6800000,4100000,Poor
2518,1, Not Graduate, Yes,5700000,20100000,14,442, Rejected,24400000,19000000,Poor
2519,1, Not Graduate, Yes,1100000,2700000,16,346, Rejected,3000000,2200000,Poor
2520,5, Graduate, No,9300000,34000000,6,742, Approved,41000000,4800000,Good
2521,1, Graduate, Yes,3500000,8100000,10,626, Approved,10100000,12600000,Fair
2522,0, Not Graduate, Yes,8200000,28800000,4,619, Approved,29300000,10100000,Fair
2523,2, Not Graduate, Yes,7500000,17900000,20,734, Approved,27900000,14600000,Good
2524,1, Graduate, Yes,7000000,25600000,6,420, Rejected,24000000,26600000,Poor
2525,5, Not Graduate, Yes,3900000,8300000,18,600, Approved,16000000,4500000,Fair
2526,3, Graduate, Yes,4700000,13200000,12,440, Rejected,20900000,7300000,Poor
2527,5, Not Graduate, Yes,1700000,5200000,16,820, Approved,5000000,2900000,Excellent
2528,0, Graduate, No,2500000,7800000,8,437, Rejected,9100000,5800000,Poor
2529,1, Not Graduate, Yes,400000,1400000,12,468, Rejected,1900000,700000,Poor
2530,0, Not Graduate, Yes,2400000,9100000,8,368, Rejected,8900000,2400000,Poor
2531,4, Graduate, No,5700000,21900000,2,871, Approved,20500000,4900000,Excellent
2532,1, Graduate, No,9800000,37900000,4,816, Approved,34600000,34000000,Excellent
2533,5, Graduate, No,9000000,32800000,4,773, Approved,30400000,14700000,Excellent
2534,3, Not Graduate, No,800000,3000000,14,576, Approved,3000000,2500000,Fair
2535,1, Graduate, No,1600000,4500000,14,673, Approved,5000000,4600000,Good
2536,0, Graduate, Yes,9800000,34100000,20,760, Approved,47000000,30900000,Excellent
2537,5, Not Graduate, Yes,2900000,7500000,12,678, Approved,14600000,6400000,Good
2538,4, Not Graduate, Yes,3900000,12000000,14,893, Approved,18100000,10700000,Excellent
2539,0, Graduate, Yes,3300000,9000000,18,754, Approved,11600000,10000000,Excellent
2540,3, Graduate, Yes,700000,2200000,8,617, Approved,3300000,2000000,Fair
2541,3, Not Graduate, Yes,8400000,29500000,20,661, Approved,39800000,18000000,Good
2542,1, Graduate, Yes,4000000,12100000,12,356, Rejected,20600000,13000000,Poor
2543,0, Not Graduate, Yes,1900000,6300000,16,811, Approved,7000000,1200000,Excellent
2544,0, Not Graduate, No,3900000,14600000,2,730, Approved,20000000,13200000,Good
2545,5, Not Graduate, No,7400000,18000000,2,792, Approved,25200000,14700000,Excellent
2546,5, Not Graduate, Yes,5900000,16000000,6,798, Approved,15400000,20900000,Excellent
2547,2, Not Graduate, No,1400000,2900000,12,490, Rejected,6800000,2200000,Poor
2548,2, Graduate, Yes,1800000,5500000,6,448, Rejected,6900000,3200000,Poor
2549,0, Graduate, Yes,1000000,3100000,6,525, Rejected,4200000,3600000,Poor
2550,1, Graduate, No,7400000,19200000,20,415, Rejected,36200000,7000000,Poor
2551,5, Graduate, No,2700000,10600000,16,496, Rejected,12100000,3700000,Poor
2552,1, Not Graduate, Yes,3600000,13100000,8,543, Rejected,12600000,3000000,Poor
2553,5, Graduate, No,7000000,18400000,12,520, Rejected,20800000,16600000,Poor
2554,4, Not Graduate, Yes,5000000,18000000,14,307, Rejected,16100000,10900000,Poor
2555,2, Graduate, No,1800000,5700000,14,502, Rejected,5700000,2500000,Poor
2556,2, Graduate, Yes,4700000,12000000,6,505, Rejected,20300000,7200000,Poor
2557,2, Not Graduate, Yes,6700000,23100000,4,304, Approved,34300000,21500000,Poor
2558,5, Not Graduate, No,5800000,17500000,10,719, Approved,15500000,7700000,Good
2559,0, Graduate, Yes,5900000,22700000,18,855, Approved,18500000,19700000,Excellent
2560,4, Not Graduate, No,6000000,15800000,18,593, Approved,19600000,11600000,Fair
2561,1, Not Graduate, Yes,700000,1400000,10,523, Rejected,2500000,1800000,Poor
2562,0, Not Graduate, Yes,3700000,13100000,14,385, Rejected,14100000,17400000,Poor
2563,0, Graduate, Yes,7100000,19300000,6,783, Approved,26800000,8700000,Excellent
2564,5, Graduate, Yes,1100000,3900000,2,538, Approved,5900000,1700000,Poor
2565,3, Not Graduate, Yes,9500000,20100000,2,506, Rejected,43700000,17600000,Poor
2566,4, Not Graduate, Yes,2200000,8600000,2,461, Approved,6800000,4400000,Poor
2567,4, Not Graduate, Yes,5500000,20000000,8,666, Approved,25900000,8500000,Good
2568,3, Not Graduate, Yes,4400000,16300000,20,561, Approved,16000000,13500000,Fair
2569,5, Not Graduate, No,5000000,10800000,10,345, Rejected,20400000,17300000,Poor
2570,4, Not Graduate, Yes,6100000,12500000,14,862, Approved,28700000,12800000,Excellent
2571,3, Not Graduate, No,8100000,22300000,10,686, Approved,25400000,29100000,Good
2572,4, Graduate, Yes,7000000,19600000,8,708, Approved,28800000,20200000,Good
2573,4, Not Graduate, No,5600000,14800000,20,656, Approved,18100000,18800000,Good
2574,4, Graduate, No,1800000,7000000,14,743, Approved,6000000,3600000,Good
2575,2, Graduate, No,3600000,12100000,14,408, Rejected,18400000,14300000,Poor
2576,5, Graduate, No,600000,1300000,14,408, Rejected,2500000,1300000,Poor
2577,1, Graduate, Yes,4900000,16500000,12,439, Rejected,17500000,8900000,Poor
2578,3, Graduate, Yes,3000000,7100000,6,415, Rejected,12000000,7700000,Poor
2579,0, Not Graduate, Yes,3800000,10600000,12,490, Rejected,17500000,9800000,Poor
2580,1, Graduate, Yes,7600000,30000000,16,884, Approved,28000000,16900000,Excellent
2581,4, Graduate, No,7800000,25400000,18,425, Rejected,37700000,17000000,Poor
2582,0, Graduate, No,6800000,21700000,20,730, Approved,22200000,18800000,Good
2583,4, Graduate, Yes,5900000,17300000,20,657, Approved,17100000,7100000,Good
2584,2, Not Graduate, No,4900000,16800000,10,480, Rejected,15300000,11100000,Poor
2585,3, Not Graduate, Yes,1100000,3100000,16,356, Rejected,4600000,1400000,Poor
2586,1, Not Graduate, Yes,9800000,36000000,12,629, Approved,41000000,32100000,Fair
2587,1, Graduate, Yes,1200000,4700000,2,667, Approved,5000000,1400000,Good
2588,0, Not Graduate, No,4700000,11500000,18,559, Approved,21300000,7500000,Fair
2589,4, Graduate, No,6700000,16000000,4,791, Approved,25900000,13000000,Excellent
2590,0, Not Graduate, Yes,3700000,11300000,6,538, Rejected,15800000,6600000,Poor
2591,2, Graduate, No,7400000,16000000,20,358, Rejected,31100000,22200000,Poor
2592,2, Not Graduate, No,3300000,11700000,14,439, Rejected,10000000,10300000,Poor
2593,2, Graduate, Yes,4800000,15300000,12,503, Rejected,16300000,7300000,Poor
2594,4, Graduate, Yes,4600000,11900000,6,810, Approved,22700000,19400000,Excellent
2595,1, Graduate, Yes,8000000,30600000,14,302, Rejected,30700000,25800000,Poor
2596,0, Not Graduate, No,4100000,8800000,18,300, Rejected,12100000,17300000,Poor
2597,4, Not Graduate, No,2600000,7200000,16,612, Approved,7200000,2300000,Fair
2598,3, Not Graduate, No,1300000,5000000,6,686, Approved,5000000,4700000,Good
2599,0, Graduate, Yes,2300000,4900000,12,409, Rejected,7900000,5700000,Poor
2600,5, Graduate, No,300000,900000,6,492, Rejected,1100000,1100000,Poor
2601,0, Graduate, Yes,7000000,21700000,20,498, Rejected,18600000,12100000,Poor
2602,3, Not Graduate, Yes,4400000,10900000,18,611, Approved,11800000,14900000,Fair
2603,5, Not Graduate, Yes,5100000,11800000,6,776, Approved,14900000,8000000,Excellent
2604,1, Not Graduate, No,5900000,13000000,6,779, Approved,19700000,22400000,Excellent
2605,3, Graduate, Yes,7800000,27200000,16,560, Approved,30400000,11700000,Fair
2606,4, Graduate, Yes,2200000,5100000,6,308, Rejected,9700000,5800000,Poor
2607,4, Not Graduate, No,5400000,12600000,18,786, Approved,27600000,2800000,Excellent
2608,1, Not Graduate, No,7400000,29100000,8,597, Approved,23300000,16900000,Fair
2609,4, Graduate, No,5800000,12000000,12,811, Approved,17300000,18200000,Excellent
2610,1, Graduate, Yes,5800000,13000000,12,862, Approved,15900000,19700000,Excellent
2611,3, Not Graduate, Yes,4800000,14200000,12,369, Rejected,17000000,3400000,Poor
2612,1, Not Graduate, Yes,7400000,23900000,4,687, Approved,31700000,31700000,Good
2613,0, Not Graduate, Yes,9600000,19600000,12,500, Rejected,48500000,22200000,Poor
2614,2, Not Graduate, Yes,200000,500000,6,746, Approved,500000,400000,Good
2615,4, Not Graduate, No,700000,2100000,14,619, Approved,3400000,2600000,Fair
2616,2, Not Graduate, No,7600000,16700000,20,692, Approved,32500000,19500000,Good
2617,1, Not Graduate, Yes,1400000,3300000,18,321, Rejected,3700000,2400000,Poor
2618,2, Not Graduate, Yes,3800000,15000000,14,730, Approved,14300000,13700000,Good
2619,3, Not Graduate, No,2700000,10800000,6,480, Rejected,13800000,4400000,Poor
2620,2, Not Graduate, Yes,5000000,10700000,2,753, Approved,17200000,21600000,Excellent
2621,4, Graduate, Yes,9000000,28900000,6,637, Approved,37800000,12500000,Fair
2622,3, Graduate, No,3700000,9000000,6,483, Rejected,13500000,9700000,Poor
2623,4, Not Graduate, Yes,300000,1100000,4,315, Approved,1000000,800000,Poor
2624,4, Graduate, No,1800000,4100000,8,777, Approved,5500000,4700000,Excellent
2625,2, Graduate, No,7900000,17700000,4,402, Rejected,34000000,32700000,Poor
2626,4, Graduate, Yes,2100000,7700000,8,493, Rejected,5700000,4700000,Poor
2627,0, Graduate, Yes,900000,3100000,4,355, Approved,3500000,1800000,Poor
2628,3, Graduate, No,9900000,23600000,18,557, Approved,32100000,26900000,Fair
2629,0, Not Graduate, Yes,5600000,20000000,20,606, Approved,27600000,7600000,Fair
2630,1, Not Graduate, Yes,6000000,12200000,16,743, Approved,23500000,11400000,Good
2631,5, Not Graduate, No,5700000,18400000,4,579, Approved,22100000,16800000,Fair
2632,0, Graduate, Yes,9000000,33100000,20,734, Approved,35600000,8700000,Good
2633,0, Graduate, No,7300000,16100000,2,490, Rejected,32500000,9000000,Poor
2634,5, Graduate, No,5300000,20500000,16,802, Approved,25200000,18300000,Excellent
2635,1, Not Graduate, Yes,3500000,7400000,16,867, Approved,11600000,7100000,Excellent
2636,0, Not Graduate, No,1000000,2200000,12,302, Rejected,5100000,2600000,Poor
2637,0, Not Graduate, No,5100000,19900000,12,867, Approved,24000000,8900000,Excellent
2638,0, Graduate, Yes,2900000,9900000,8,312, Rejected,14900000,6300000,Poor
2639,3, Not Graduate, No,7600000,19100000,14,762, Approved,30800000,29800000,Excellent
2640,5, Not Graduate, Yes,6000000,14700000,18,462, Rejected,17300000,25100000,Poor
2641,1, Graduate, No,6300000,18200000,18,849, Approved,20700000,10100000,Excellent
2642,3, Not Graduate, No,1900000,7400000,18,592, Approved,7800000,5300000,Fair
2643,4, Graduate, No,600000,1400000,4,507, Rejected,2100000,500000,Poor
2644,2, Not Graduate, Yes,4100000,11400000,14,505, Rejected,15600000,15600000,Poor
2645,0, Not Graduate, Yes,800000,3200000,8,467, Rejected,3900000,1300000,Poor
2646,2, Not Graduate, No,6600000,22900000,16,543, Rejected,34800000,13500000,Poor
2647,4, Graduate, Yes,300000,1100000,12,674, Approved,1000000,600000,Good
2648,3, Graduate, No,6100000,13500000,2,717, Approved,19500000,19900000,Good
2649,5, Not Graduate, Yes,4800000,17000000,10,666, Approved,15300000,12200000,Good
2650,4, Not Graduate, No,4500000,17300000,18,830, Approved,14500000,4400000,Excellent
2651,2, Graduate, No,3800000,9400000,16,383, Rejected,11500000,8800000,Poor
2652,2, Graduate, Yes,7000000,18900000,8,584, Approved,25600000,26600000,Fair
2653,2, Not Graduate, No,4400000,14200000,18,799, Approved,13200000,14100000,Excellent
2654,5, Graduate, No,5300000,19400000,6,510, Rejected,17300000,21700000,Poor
2655,0, Not Graduate, Yes,2600000,5900000,6,572, Approved,11100000,8900000,Fair
2656,3, Not Graduate, No,3300000,13100000,2,554, Approved,10500000,8500000,Fair
2657,1, Not Graduate, Yes,1200000,4800000,6,344, Rejected,4500000,4600000,Poor
2658,3, Graduate, No,4300000,8600000,8,881, Approved,20500000,14300000,Excellent
2659,0, Not Graduate, Yes,8400000,27200000,10,514, Rejected,27300000,8900000,Poor
2660,0, Graduate, No,600000,1800000,18,796, Approved,1700000,1700000,Excellent
2661,2, Graduate, Yes,4700000,16200000,12,802, Approved,21500000,7700000,Excellent
2662,3, Graduate, No,4200000,12500000,20,375, Rejected,13300000,6400000,Poor
2663,2, Graduate, No,4300000,14700000,2,871, Approved,18300000,11400000,Excellent
2664,0, Not Graduate, No,800000,2900000,2,439, Approved,3900000,1000000,Poor
2665,0, Not Graduate, Yes,9300000,32000000,8,438, Rejected,47300000,31200000,Poor
2666,5, Not Graduate, No,6200000,13700000,2,468, Rejected,19400000,15600000,Poor
2667,3, Graduate, Yes,3500000,10200000,12,645, Approved,12400000,16100000,Fair
2668,2, Graduate, Yes,3600000,9200000,18,700, Approved,14200000,6200000,Good
2669,5, Graduate, Yes,9500000,36700000,16,348, Rejected,43000000,5700000,Poor
2670,5, Graduate, Yes,600000,1400000,10,877, Approved,2700000,1800000,Excellent
2671,0, Not Graduate, Yes,3800000,14900000,6,899, Approved,15200000,8400000,Excellent
2672,3, Graduate, Yes,1400000,3500000,12,610, Approved,5200000,1800000,Fair
2673,1, Not Graduate, No,6300000,23900000,4,742, Approved,26100000,8600000,Good
2674,1, Not Graduate, Yes,2800000,6600000,18,801, Approved,10800000,8900000,Excellent
2675,4, Graduate, Yes,5400000,17100000,2,533, Approved,16900000,18900000,Poor
2676,3, Not Graduate, Yes,6300000,23900000,16,656, Approved,20300000,22000000,Good
2677,3, Graduate, Yes,3900000,14300000,18,785, Approved,18800000,18500000,Excellent
2678,2, Graduate, Yes,4200000,15700000,2,332, Approved,16300000,7700000,Poor
2679,0, Graduate, No,3100000,8100000,18,768, Approved,14000000,2000000,Excellent
2680,1, Graduate, No,3400000,8600000,6,640, Approved,12200000,8700000,Fair
2681,4, Not Graduate, No,1500000,3100000,6,885, Approved,5700000,2900000,Excellent
2682,3, Not Graduate, Yes,900000,2000000,18,772, Approved,4300000,3000000,Excellent
2683,4, Graduate, Yes,7800000,25600000,4,665, Approved,35500000,3300000,Good
2684,1, Not Graduate, Yes,3500000,10500000,20,454, Rejected,9700000,12300000,Poor
2685,1, Not Graduate, No,8400000,32500000,14,698, Approved,29500000,26500000,Good
2686,4, Not Graduate, Yes,6400000,21300000,20,332, Rejected,24200000,12700000,Poor
2687,1, Not Graduate, No,9600000,28300000,6,536, Rejected,33300000,28000000,Poor
2688,5, Not Graduate, Yes,2100000,6500000,10,796, Approved,10000000,5200000,Excellent
2689,2, Not Graduate, Yes,6000000,19900000,8,486, Rejected,26700000,20200000,Poor
2690,0, Not Graduate, Yes,8300000,16800000,18,422, Rejected,34700000,18600000,Poor
2691,1, Not Graduate, Yes,5300000,18500000,6,501, Rejected,20900000,15300000,Poor
2692,1, Not Graduate, Yes,9700000,23500000,4,666, Approved,31300000,24500000,Good
2693,3, Not Graduate, Yes,8200000,16500000,18,371, Rejected,26700000,20200000,Poor
2694,5, Graduate, No,3400000,6900000,14,312, Rejected,14100000,2200000,Poor
2695,5, Graduate, No,2800000,11000000,12,753, Approved,13100000,8500000,Excellent
2696,0, Not Graduate, Yes,2400000,5200000,16,740, Approved,10400000,7300000,Good
2697,1, Graduate, No,8200000,24000000,4,366, Rejected,35600000,26100000,Poor
2698,4, Not Graduate, No,4200000,11100000,8,526, Rejected,21700000,11800000,Poor
2699,4, Graduate, Yes,5500000,14800000,10,354, Rejected,28900000,19400000,Poor
2700,5, Not Graduate, Yes,2900000,6300000,6,719, Approved,9600000,9500000,Good
2701,5, Not Graduate, No,6300000,20100000,12,774, Approved,22000000,27400000,Excellent
2702,5, Not Graduate, Yes,9700000,29100000,18,732, Approved,48000000,12100000,Good
2703,1, Not Graduate, No,6500000,16000000,6,862, Approved,33700000,2000000,Excellent
2704,5, Not Graduate, No,4900000,10800000,18,613, Approved,19800000,7600000,Fair
2705,5, Graduate, Yes,6900000,16500000,6,447, Rejected,20700000,4500000,Poor
2706,4, Not Graduate, Yes,1100000,3000000,4,730, Approved,4700000,900000,Good
2707,2, Not Graduate, Yes,7800000,29600000,14,568, Approved,34200000,8500000,Fair
2708,2, Graduate, Yes,8200000,23600000,6,495, Rejected,33300000,33600000,Poor
2709,5, Not Graduate, Yes,6700000,23600000,14,854, Approved,26900000,6300000,Excellent
2710,3, Graduate, Yes,7400000,15200000,10,548, Rejected,24100000,29500000,Poor
2711,1, Not Graduate, No,1200000,2700000,14,779, Approved,3000000,2800000,Excellent
2712,0, Not Graduate, No,9500000,24800000,2,564, Approved,31600000,33400000,Fair
2713,5, Not Graduate, Yes,4000000,8200000,2,571, Approved,13900000,11200000,Fair
2714,0, Not Graduate, Yes,8600000,32600000,8,778, Approved,44600000,35600000,Excellent
2715,4, Graduate, Yes,9100000,28400000,12,808, Approved,29000000,37600000,Excellent
2716,0, Not Graduate, Yes,7100000,18600000,20,770, Approved,28200000,32300000,Excellent
2717,0, Not Graduate, No,9000000,28400000,4,612, Approved,40100000,7200000,Fair
2718,3, Graduate, Yes,1400000,2700000,14,819, Approved,5300000,2700000,Excellent
2719,1, Graduate, No,8800000,20200000,6,627, Approved,29500000,40300000,Fair
2720,3, Not Graduate, Yes,5400000,14700000,4,359, Rejected,21200000,22200000,Poor
2721,1, Graduate, No,6100000,19100000,6,341, Rejected,18700000,11600000,Poor
2722,1, Graduate, No,1000000,3600000,4,570, Approved,4700000,2300000,Fair
2723,3, Graduate, Yes,7700000,18100000,20,736, Approved,39100000,22300000,Good
2724,1, Graduate, Yes,6100000,12900000,2,302, Rejected,22800000,16400000,Poor
2725,2, Not Graduate, Yes,7700000,21000000,12,420, Rejected,37900000,20400000,Poor
2726,4, Graduate, Yes,4700000,12000000,2,416, Rejected,19800000,14000000,Poor
2727,2, Graduate, Yes,9100000,34800000,20,836, Approved,40500000,32200000,Excellent
2728,0, Graduate, Yes,5800000,12700000,12,528, Rejected,27200000,15700000,Poor
2729,4, Not Graduate, No,8500000,24900000,2,405, Rejected,33100000,2300000,Poor
2730,2, Graduate, Yes,9900000,33400000,14,783, Approved,30500000,32700000,Excellent
2731,4, Not Graduate, Yes,2000000,4000000,10,636, Approved,5700000,2100000,Fair
2732,1, Not Graduate, Yes,5000000,16800000,6,711, Approved,19200000,13900000,Good
2733,1, Graduate, Yes,3200000,11800000,16,848, Approved,9800000,8700000,Excellent
2734,1, Not Graduate, Yes,8000000,27800000,8,804, Approved,38900000,9500000,Excellent
2735,0, Not Graduate, Yes,1200000,2800000,14,892, Approved,5000000,3300000,Excellent
2736,2, Not Graduate, Yes,5800000,22800000,14,696, Approved,25600000,12300000,Good
2737,1, Graduate, No,2500000,7600000,20,888, Approved,8300000,11600000,Excellent
2738,1, Not Graduate, Yes,600000,1400000,10,699, Approved,2100000,900000,Good
2739,5, Graduate, No,4900000,13000000,10,865, Approved,21200000,17000000,Excellent
2740,2, Graduate, Yes,9400000,37300000,14,383, Rejected,34800000,23700000,Poor
2741,2, Graduate, No,5300000,19300000,16,368, Rejected,15300000,15100000,Poor
2742,5, Not Graduate, No,5100000,15800000,4,607, Approved,19600000,13700000,Fair
2743,4, Not Graduate, Yes,2900000,8900000,18,827, Approved,12800000,3800000,Excellent
2744,1, Graduate, No,9100000,34000000,12,672, Approved,41500000,10200000,Good
2745,3, Not Graduate, Yes,8800000,26700000,12,708, Approved,36500000,31300000,Good
2746,4, Not Graduate, No,2600000,8800000,10,682, Approved,11900000,9200000,Good
2747,1, Graduate, Yes,9700000,25500000,18,741, Approved,39700000,28100000,Good
2748,5, Not Graduate, Yes,600000,1200000,8,343, Rejected,2200000,800000,Poor
2749,0, Graduate, Yes,4100000,11100000,16,785, Approved,13300000,12100000,Excellent
2750,1, Not Graduate, Yes,8000000,28000000,20,830, Approved,36200000,35000000,Excellent
2751,2, Graduate, No,8800000,26700000,16,696, Approved,31200000,28200000,Good
2752,1, Graduate, No,200000,300000,12,697, Approved,800000,900000,Good
2753,0, Graduate, Yes,3800000,11700000,2,351, Approved,15600000,6800000,Poor
2754,3, Graduate, No,6800000,21800000,10,556, Approved,24500000,25700000,Fair
2755,0, Graduate, No,8600000,31800000,2,895, Approved,24700000,38500000,Excellent
2756,2, Graduate, Yes,2800000,8400000,10,534, Rejected,12100000,13100000,Poor
2757,0, Graduate, No,8000000,29800000,12,736, Approved,39200000,16300000,Good
2758,2, Graduate, Yes,2300000,5500000,16,629, Approved,8900000,7500000,Fair
2759,4, Graduate, Yes,7600000,16200000,20,657, Approved,34000000,11200000,Good
2760,2, Graduate, No,2900000,11300000,12,839, Approved,10700000,5800000,Excellent
2761,4, Not Graduate, No,7900000,25700000,18,589, Approved,35100000,4600000,Fair
2762,2, Not Graduate, No,1900000,4500000,6,805, Approved,7100000,5300000,Excellent
2763,3, Not Graduate, Yes,4600000,13600000,20,729, Approved,23100000,10200000,Good
2764,1, Not Graduate, No,2600000,7700000,6,399, Rejected,12400000,8000000,Poor
2765,2, Not Graduate, No,2700000,6700000,8,413, Rejected,11500000,8400000,Poor
2766,5, Graduate, Yes,6300000,13200000,16,321, Rejected,22300000,10700000,Poor
2767,0, Graduate, Yes,2600000,7500000,2,853, Approved,11000000,8100000,Excellent
2768,4, Not Graduate, Yes,7700000,23400000,6,400, Rejected,31500000,7300000,Poor
2769,0, Graduate, Yes,7400000,16300000,16,630, Approved,33700000,24400000,Fair
2770,3, Graduate, Yes,7300000,21600000,20,557, Approved,35700000,5700000,Fair
2771,1, Graduate, No,2900000,7600000,2,358, Rejected,12200000,1500000,Poor
2772,3, Graduate, Yes,6600000,16000000,10,510, Rejected,19600000,6000000,Poor
2773,2, Graduate, Yes,2700000,9600000,14,554, Approved,12100000,6000000,Fair
2774,3, Graduate, Yes,8300000,27700000,4,596, Approved,28800000,35900000,Fair
2775,0, Graduate, No,4900000,18500000,8,659, Approved,19600000,10500000,Good
2776,4, Graduate, Yes,7900000,30700000,10,322, Rejected,36600000,23800000,Poor
2777,5, Graduate, Yes,8800000,21300000,14,852, Approved,38400000,14400000,Excellent
2778,5, Not Graduate, No,4000000,14100000,18,653, Approved,14800000,9900000,Good
2779,4, Graduate, Yes,3900000,9200000,12,737, Approved,17500000,5100000,Good
2780,3, Graduate, Yes,7700000,18900000,2,583, Approved,26000000,12300000,Fair
2781,1, Graduate, Yes,3800000,10000000,16,873, Approved,14300000,7900000,Excellent
2782,5, Graduate, No,8000000,27000000,20,595, Approved,35200000,9700000,Fair
2783,5, Graduate, Yes,3400000,11300000,20,871, Approved,12100000,10400000,Excellent
2784,5, Graduate, Yes,5500000,18800000,12,603, Approved,26000000,4000000,Fair
2785,0, Not Graduate, No,7700000,29300000,14,801, Approved,28100000,18000000,Excellent
2786,5, Graduate, No,4000000,9400000,4,723, Approved,14100000,200000,Good
2787,5, Not Graduate, Yes,5900000,22600000,18,630, Approved,23300000,6500000,Fair
2788,0, Not Graduate, Yes,2600000,9900000,20,368, Rejected,7200000,5100000,Poor
2789,3, Graduate, No,6600000,22200000,12,759, Approved,27200000,11100000,Excellent
2790,0, Not Graduate, Yes,1000000,3000000,18,382, Rejected,4400000,2900000,Poor
2791,4, Not Graduate, Yes,800000,2800000,16,645, Approved,2900000,2300000,Fair
2792,0, Graduate, No,3200000,6300000,6,878, Approved,11700000,11900000,Excellent
2793,4, Graduate, No,8400000,23400000,12,350, Rejected,34200000,27800000,Poor
2794,3, Graduate, Yes,5800000,17600000,6,720, Approved,25400000,9100000,Good
2795,0, Not Graduate, Yes,7300000,28100000,10,673, Approved,25200000,14900000,Good
2796,1, Graduate, No,3900000,8000000,6,448, Rejected,13800000,2000000,Poor
2797,2, Not Graduate, Yes,4600000,16000000,4,720, Approved,16500000,4000000,Good
2798,0, Graduate, No,3600000,12300000,2,300, Approved,19700000,8200000,Poor
2799,4, Graduate, No,7500000,28700000,20,520, Rejected,20900000,8100000,Poor
2800,1, Graduate, No,5200000,15000000,12,794, Approved,21600000,10400000,Excellent
2801,3, Graduate, Yes,4400000,10000000,8,875, Approved,15800000,11100000,Excellent
2802,1, Not Graduate, Yes,5100000,12900000,14,533, Rejected,18300000,13400000,Poor
2803,0, Graduate, No,6000000,23600000,6,776, Approved,32200000,16500000,Excellent
2804,2, Graduate, No,3800000,11400000,6,706, Approved,14900000,5000000,Good
2805,3, Graduate, No,2800000,10900000,2,710, Approved,9200000,3000000,Good
