 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets,loan_to_income_ratio,assets_to_loan_ratio, cibil_category
4, Graduate, No,3800000,8500000,10,416, Rejected,19000000,11000000,2.236842105263158,3.5294117647058822,Poor
3, Graduate, No,3200000,8200000,8,311, Rejected,12300000,10500000,2.5625,2.7804878048780486,Poor
1, Graduate, No,9700000,33900000,10,833, Approved,34900000,40800000,3.4948453608247423,2.2330383480825957,Excellent
1, Not Graduate, Yes,4300000,9400000,6,543, Rejected,19000000,12600000,2.186046511627907,3.3617021276595747,Poor
5, Graduate, Yes,8100000,20300000,18,751, Approved,39100000,9500000,2.506172839506173,2.394088669950739,Excellent
5, Not Graduate, Yes,9400000,23200000,14,885, Approved,39600000,18100000,2.4680851063829787,2.4870689655172415,Excellent
4, Not Graduate, Yes,8100000,19400000,6,346, Rejected,33800000,17100000,2.3950617283950617,2.6237113402061856,Poor
4, Graduate, No,6500000,14500000,4,588, Approved,29200000,19800000,2.230769230769231,3.3793103448275863,Fair
2, Graduate, No,9400000,23100000,4,488, Rejected,39500000,23600000,2.4574468085106385,2.7316017316017316,Poor
1, Not Graduate, Yes,2600000,6600000,20,765, Approved,6500000,2300000,2.5384615384615383,1.3333333333333333,Excellent
3, Not Graduate, Yes,8000000,25600000,6,337, Rejected,28700000,9300000,3.2,1.484375,Poor
1, Graduate, No,4700000,9300000,8,515, Rejected,20300000,5700000,1.9787234042553192,2.795698924731183,Poor
2, Graduate, Yes,7600000,22300000,12,555, Approved,24800000,15900000,2.9342105263157894,1.8251121076233183,Fair
1, Graduate, Yes,6800000,27200000,2,702, Approved,33400000,7000000,4.0,1.4852941176470589,Good
2, Not Graduate, Yes,6600000,17000000,2,457, Rejected,30000000,1900000,2.5757575757575757,1.8764705882352941,Poor
2, Graduate, No,8200000,27200000,10,425, Rejected,33800000,16300000,3.317073170731707,1.8419117647058822,Poor
1, Graduate, Yes,4400000,12300000,6,583, Approved,23800000,10300000,2.7954545454545454,2.772357723577236,Fair
1, Not Graduate, No,8300000,29200000,6,877, Approved,41000000,23600000,3.5180722891566263,2.212328767123288,Excellent
0, Graduate, No,9200000,36500000,14,522, Rejected,35600000,15800000,3.967391304347826,1.4082191780821918,Poor
5, Not Graduate, Yes,2700000,8700000,20,687, Approved,10300000,3800000,3.2222222222222223,1.6206896551724137,Good
0, Graduate, No,6100000,23600000,20,856, Approved,24100000,8500000,3.8688524590163933,1.38135593220339,Excellent
4, Not Graduate, Yes,9100000,33000000,8,543, Rejected,30700000,30100000,3.6263736263736264,1.8424242424242425,Poor
5, Not Graduate, Yes,7600000,15400000,14,576, Approved,29200000,5100000,2.026315789473684,2.227272727272727,Fair
2, Not Graduate, No,7200000,17000000,10,856, Approved,21800000,30800000,2.361111111111111,3.0941176470588236,Excellent
0, Graduate, Yes,2600000,8200000,8,722, Approved,10300000,7700000,3.1538461538461537,2.1951219512195124,Good
4, Graduate, Yes,6500000,20200000,12,653, Approved,30200000,20000000,3.1076923076923078,2.485148514851485,Good
5, Graduate, No,8900000,35500000,16,480, Rejected,30100000,28500000,3.9887640449438204,1.6507042253521127,Poor
2, Graduate, Yes,5400000,14300000,14,477, Rejected,16600000,10900000,2.6481481481481484,1.9230769230769231,Poor
0, Graduate, No,300000,500000,2,885, Approved,900000,600000,1.6666666666666667,3.0,Excellent
0, Not Graduate, No,8400000,19600000,18,530, Rejected,36500000,20600000,2.3333333333333335,2.913265306122449,Poor
3, Graduate, No,8300000,17200000,8,870, Approved,28300000,13500000,2.072289156626506,2.4302325581395348,Excellent
4, Not Graduate, No,1700000,5600000,8,395, Rejected,5900000,3500000,3.2941176470588234,1.6785714285714286,Poor
2, Not Graduate, No,1500000,4200000,16,771, Approved,6800000,3300000,2.8,2.4047619047619047,Excellent
1, Not Graduate, Yes,200000,500000,2,579, Approved,600000,600000,2.5,2.4,Fair
1, Graduate, Yes,1000000,3700000,14,798, Approved,5200000,2200000,3.7,2.0,Excellent
3, Not Graduate, Yes,8800000,25100000,8,473, Rejected,36800000,17800000,2.852272727272727,2.1752988047808763,Poor
0, Graduate, Yes,1000000,3200000,8,304, Rejected,4400000,1100000,3.2,1.71875,Poor
0, Not Graduate, Yes,8600000,23000000,14,678, Approved,34900000,35200000,2.6744186046511627,3.0478260869565217,Good
5, Graduate, Yes,2400000,8900000,2,745, Approved,11300000,3700000,3.7083333333333335,1.6853932584269662,Good
1, Graduate, No,2400000,8900000,8,835, Approved,6600000,3600000,3.7083333333333335,1.146067415730337,Excellent
5, Not Graduate, Yes,6000000,12100000,20,848, Approved,21600000,18700000,2.0166666666666666,3.330578512396694,Excellent
5, Not Graduate, No,7600000,16300000,18,872, Approved,25700000,7000000,2.1447368421052633,2.0061349693251533,Excellent
3, Not Graduate, No,8000000,20100000,10,608, Approved,31300000,25300000,2.5125,2.81592039800995,Fair
0, Graduate, Yes,5400000,19500000,16,758, Approved,24300000,5300000,3.611111111111111,1.5179487179487179,Excellent
0, Not Graduate, Yes,1400000,3700000,4,841, Approved,5600000,4000000,2.642857142857143,2.5945945945945947,Excellent
0, Not Graduate, Yes,800000,2600000,2,618, Approved,2500000,1500000,3.25,1.5384615384615385,Fair
4, Graduate, Yes,300000,1100000,4,457, Approved,1500000,800000,3.6666666666666665,2.090909090909091,Poor
0, Graduate, No,4100000,14400000,4,844, Approved,14100000,8700000,3.5121951219512195,1.5833333333333333,Excellent
2, Not Graduate, No,1500000,3800000,4,776, Approved,6700000,2800000,2.533333333333333,2.5,Excellent
1, Not Graduate, No,4600000,13900000,8,520, Rejected,12000000,19700000,3.0217391304347827,2.2805755395683454,Poor
1, Graduate, Yes,3300000,7500000,12,648, Approved,10300000,8100000,2.272727272727273,2.453333333333333,Fair
4, Not Graduate, Yes,7900000,31400000,10,654, Approved,30400000,31700000,3.9746835443037973,1.9777070063694266,Good
0, Not Graduate, No,8100000,26500000,20,342, Rejected,29500000,11400000,3.271604938271605,1.5433962264150944,Poor
5, Not Graduate, No,900000,2800000,16,808, Approved,3900000,3000000,3.111111111111111,2.4642857142857144,Excellent
1, Graduate, Yes,4900000,15200000,10,429, Rejected,17700000,13000000,3.1020408163265305,2.0197368421052633,Poor
3, Graduate, Yes,6100000,18100000,14,538, Rejected,23700000,16000000,2.9672131147540983,2.1933701657458564,Poor
3, Not Graduate, No,4500000,16400000,6,533, Rejected,16100000,7400000,3.6444444444444444,1.4329268292682926,Poor
2, Graduate, Yes,2900000,7300000,8,394, Rejected,11700000,10300000,2.5172413793103448,3.0136986301369864,Poor
1, Not Graduate, No,7900000,29300000,2,771, Approved,24400000,30400000,3.7088607594936707,1.870307167235495,Excellent
5, Graduate, Yes,4100000,10100000,4,792, Approved,13500000,10500000,2.4634146341463414,2.376237623762376,Excellent
5, Not Graduate, Yes,7700000,15500000,8,407, Rejected,30900000,15600000,2.012987012987013,3.0,Poor
0, Not Graduate, No,5600000,19300000,18,544, Rejected,26300000,9200000,3.4464285714285716,1.839378238341969,Poor
5, Graduate, No,9000000,18000000,18,509, Rejected,26100000,29800000,2.0,3.1055555555555556,Poor
4, Not Graduate, Yes,6400000,18400000,16,320, Rejected,22200000,21300000,2.875,2.364130434782609,Poor
4, Graduate, No,6900000,14700000,2,496, Rejected,19500000,19000000,2.130434782608696,2.619047619047619,Poor
3, Not Graduate, No,9100000,27400000,18,652, Approved,38500000,15800000,3.010989010989011,1.9817518248175183,Good
2, Graduate, Yes,1100000,3700000,2,806, Approved,3400000,3500000,3.3636363636363638,1.864864864864865,Excellent
4, Not Graduate, No,1700000,4500000,12,821, Approved,6400000,5100000,2.6470588235294117,2.5555555555555554,Excellent
5, Graduate, Yes,9200000,28800000,20,618, Approved,44500000,25100000,3.130434782608696,2.4166666666666665,Fair
2, Not Graduate, Yes,8300000,20600000,12,729, Approved,39800000,31400000,2.4819277108433737,3.4563106796116503,Good
5, Not Graduate, Yes,5000000,10600000,6,839, Approved,23300000,21200000,2.12,4.19811320754717,Excellent
3, Graduate, No,2200000,6400000,2,318, Rejected,5800000,3500000,2.909090909090909,1.453125,Poor
2, Graduate, No,4500000,9600000,16,404, Rejected,19700000,7800000,2.1333333333333333,2.8645833333333335,Poor
5, Not Graduate, Yes,4100000,9000000,6,581, Approved,14700000,8100000,2.1951219512195124,2.533333333333333,Fair
1, Not Graduate, No,2800000,6800000,18,596, Approved,8800000,8300000,2.4285714285714284,2.514705882352941,Fair
1, Not Graduate, No,6600000,20700000,4,415, Approved,21600000,24700000,3.1363636363636362,2.236714975845411,Poor
3, Not Graduate, Yes,3200000,7200000,6,728, Approved,12600000,6800000,2.25,2.6944444444444446,Good
0, Not Graduate, No,6300000,13300000,2,666, Approved,19100000,12800000,2.111111111111111,2.398496240601504,Good
2, Graduate, No,4700000,17700000,14,675, Approved,19600000,13000000,3.765957446808511,1.8418079096045197,Good
0, Graduate, No,4100000,15400000,16,304, Rejected,19300000,8200000,3.7560975609756095,1.7857142857142858,Poor
5, Graduate, Yes,7100000,15500000,4,474, Rejected,31800000,16600000,2.183098591549296,3.1225806451612903,Poor
4, Graduate, Yes,4900000,10200000,18,370, Rejected,20300000,13100000,2.0816326530612246,3.2745098039215685,Poor
4, Graduate, No,5600000,20300000,20,596, Approved,20600000,16000000,3.625,1.8029556650246306,Fair
4, Graduate, No,3400000,8300000,2,567, Approved,12900000,7600000,2.4411764705882355,2.4698795180722892,Fair
3, Not Graduate, No,4500000,16100000,16,671, Approved,18200000,14100000,3.577777777777778,2.0062111801242235,Good
2, Graduate, No,300000,800000,18,819, Approved,1300000,600000,2.6666666666666665,2.375,Excellent
5, Not Graduate, Yes,7600000,23000000,10,829, Approved,24900000,10400000,3.026315789473684,1.5347826086956522,Excellent
5, Graduate, No,500000,1200000,12,454, Rejected,1300000,1900000,2.4,2.6666666666666665,Poor
0, Graduate, Yes,5900000,15200000,16,399, Rejected,18700000,18400000,2.5762711864406778,2.4407894736842106,Poor
0, Graduate, No,7100000,20700000,10,784, Approved,36500000,20900000,2.915492957746479,2.7729468599033815,Excellent
2, Not Graduate, Yes,8500000,26900000,6,538, Rejected,26100000,37700000,3.164705882352941,2.3717472118959106,Poor
0, Graduate, Yes,6400000,16900000,16,759, Approved,18300000,23300000,2.640625,2.4615384615384617,Excellent
2, Graduate, No,7100000,21400000,12,699, Approved,27400000,24800000,3.0140845070422535,2.439252336448598,Good
5, Not Graduate, No,1800000,5400000,14,347, Rejected,6600000,5100000,3.0,2.1666666666666665,Poor
3, Not Graduate, Yes,6600000,25200000,20,598, Approved,29300000,16700000,3.8181818181818183,1.8253968253968254,Fair
4, Graduate, Yes,8800000,27100000,2,406, Approved,31900000,22500000,3.0795454545454546,2.007380073800738,Poor
2, Not Graduate, No,4800000,15800000,20,860, Approved,18500000,5000000,3.2916666666666665,1.4873417721518987,Excellent
5, Graduate, Yes,4400000,16500000,10,806, Approved,14000000,7900000,3.75,1.3272727272727274,Excellent
0, Not Graduate, No,2000000,6900000,2,448, Approved,8700000,6500000,3.45,2.2028985507246377,Poor
2, Graduate, No,6800000,22600000,20,393, Rejected,28500000,4300000,3.323529411764706,1.4513274336283186,Poor
5, Not Graduate, Yes,6600000,16000000,12,811, Approved,19700000,18100000,2.4242424242424243,2.3625,Excellent
2, Graduate, No,3300000,7900000,20,829, Approved,15800000,6900000,2.393939393939394,2.8734177215189876,Excellent
3, Not Graduate, No,7400000,23400000,16,700, Approved,29600000,22300000,3.1621621621621623,2.217948717948718,Good
0, Not Graduate, Yes,4500000,12400000,18,719, Approved,12300000,10500000,2.7555555555555555,1.8387096774193548,Good
1, Not Graduate, Yes,9500000,30500000,12,430, Rejected,41300000,13400000,3.210526315789474,1.7934426229508196,Poor
1, Graduate, No,800000,3000000,4,338, Approved,3000000,1900000,3.75,1.6333333333333333,Poor
2, Graduate, No,4000000,13000000,4,695, Approved,19700000,13300000,3.25,2.5384615384615383,Good
2, Not Graduate, No,7000000,25700000,18,374, Rejected,19400000,17100000,3.6714285714285713,1.4202334630350195,Poor
3, Graduate, No,3500000,8500000,18,609, Approved,15200000,7300000,2.4285714285714284,2.6470588235294117,Fair
3, Graduate, Yes,9700000,36000000,6,631, Approved,36000000,9000000,3.711340206185567,1.25,Fair
0, Not Graduate, No,3400000,10800000,6,439, Rejected,13500000,6700000,3.176470588235294,1.8703703703703705,Poor
1, Graduate, Yes,4600000,13500000,20,837, Approved,14400000,13300000,2.9347826086956523,2.051851851851852,Excellent
4, Graduate, No,3800000,10400000,10,833, Approved,18300000,10000000,2.736842105263158,2.7211538461538463,Excellent
4, Not Graduate, Yes,4200000,9600000,20,863, Approved,12500000,8300000,2.2857142857142856,2.1666666666666665,Excellent
2, Graduate, No,2500000,8700000,4,684, Approved,12300000,600000,3.48,1.4827586206896552,Good
0, Not Graduate, Yes,7000000,24600000,6,542, Rejected,29200000,9000000,3.5142857142857142,1.5528455284552845,Poor
1, Not Graduate, No,5300000,11500000,8,753, Approved,17400000,14200000,2.169811320754717,2.747826086956522,Excellent
0, Not Graduate, No,6400000,14200000,2,512, Rejected,26600000,10800000,2.21875,2.6338028169014085,Poor
3, Not Graduate, No,3400000,8100000,12,385, Rejected,14700000,10100000,2.3823529411764706,3.0617283950617282,Poor
4, Not Graduate, No,6700000,18800000,2,749, Approved,28500000,23500000,2.8059701492537314,2.765957446808511,Good
1, Not Graduate, Yes,4600000,10100000,4,618, Approved,17200000,2300000,2.1956521739130435,1.9306930693069306,Fair
4, Graduate, Yes,900000,2500000,4,583, Approved,2900000,2100000,2.7777777777777777,2.0,Fair
0, Graduate, No,5100000,19900000,18,655, Approved,24200000,4400000,3.9019607843137254,1.4371859296482412,Good
0, Not Graduate, Yes,7000000,20900000,20,380, Rejected,27300000,22600000,2.9857142857142858,2.38755980861244,Poor
3, Graduate, Yes,4100000,14700000,6,679, Approved,16100000,10300000,3.5853658536585367,1.7959183673469388,Good
2, Graduate, No,4600000,14800000,6,410, Rejected,21900000,19700000,3.217391304347826,2.810810810810811,Poor
2, Graduate, Yes,3600000,11500000,8,590, Approved,13900000,6800000,3.1944444444444446,1.8,Fair
5, Graduate, No,5900000,13800000,14,397, Rejected,23400000,13000000,2.3389830508474576,2.63768115942029,Poor
2, Graduate, No,600000,2100000,16,425, Rejected,2600000,1400000,3.5,1.9047619047619047,Poor
0, Graduate, No,4900000,16400000,2,383, Approved,20800000,6800000,3.3469387755102042,1.6829268292682926,Poor
5, Graduate, Yes,6400000,23900000,6,406, Rejected,29700000,27100000,3.734375,2.3765690376569037,Poor
2, Graduate, No,7000000,19800000,10,563, Approved,30800000,13300000,2.8285714285714287,2.227272727272727,Fair
3, Graduate, Yes,6700000,13400000,14,782, Approved,35400000,8900000,2.0,3.3059701492537314,Excellent
1, Not Graduate, Yes,800000,2200000,4,852, Approved,3200000,1100000,2.75,1.9545454545454546,Excellent
5, Not Graduate, No,7600000,27800000,2,753, Approved,24900000,30600000,3.6578947368421053,1.9964028776978417,Excellent
5, Graduate, Yes,3200000,7600000,4,489, Rejected,12500000,7900000,2.375,2.6842105263157894,Poor
2, Not Graduate, Yes,4900000,13800000,2,586, Approved,16900000,11300000,2.816326530612245,2.0434782608695654,Fair
3, Not Graduate, No,7200000,20800000,16,560, Approved,24700000,12800000,2.888888888888889,1.8028846153846154,Fair
3, Graduate, No,5600000,20600000,6,487, Rejected,24300000,16100000,3.6785714285714284,1.9611650485436893,Poor
4, Graduate, Yes,7300000,18300000,8,434, Rejected,33500000,12900000,2.506849315068493,2.5355191256830603,Poor
4, Not Graduate, No,3300000,7000000,20,504, Rejected,9800000,11400000,2.121212121212121,3.0285714285714285,Poor
2, Graduate, Yes,9200000,25300000,4,827, Approved,30300000,41800000,2.75,2.849802371541502,Excellent
3, Not Graduate, Yes,8100000,23300000,20,657, Approved,34300000,18600000,2.876543209876543,2.2703862660944205,Good
5, Graduate, No,6600000,21400000,10,447, Rejected,26600000,23800000,3.242424242424242,2.3551401869158877,Poor
0, Graduate, Yes,4200000,13600000,4,834, Approved,15100000,12100000,3.238095238095238,2.0,Excellent
2, Graduate, No,5800000,21700000,8,354, Rejected,19000000,14800000,3.7413793103448274,1.5576036866359446,Poor
2, Graduate, Yes,5600000,21000000,18,883, Approved,26900000,11400000,3.75,1.8238095238095238,Excellent
0, Not Graduate, Yes,3600000,9900000,12,641, Approved,11800000,12700000,2.75,2.474747474747475,Fair
1, Graduate, Yes,7700000,16900000,6,621, Approved,37600000,30500000,2.1948051948051948,4.029585798816568,Fair
0, Graduate, Yes,7800000,23300000,10,587, Approved,37200000,21800000,2.9871794871794872,2.532188841201717,Fair
3, Not Graduate, No,5700000,15400000,16,424, Rejected,22000000,7700000,2.7017543859649122,1.9285714285714286,Poor
5, Graduate, No,6300000,20500000,14,515, Rejected,27400000,7900000,3.253968253968254,1.721951219512195,Poor
5, Not Graduate, Yes,2300000,4700000,18,592, Approved,9000000,5500000,2.0434782608695654,3.0851063829787235,Fair
4, Graduate, Yes,9600000,19900000,6,319, Rejected,34700000,19700000,2.0729166666666665,2.7336683417085426,Poor
1, Not Graduate, Yes,1000000,3900000,16,360, Rejected,2700000,2800000,3.9,1.4102564102564104,Poor
5, Graduate, Yes,7200000,27100000,12,535, Rejected,32900000,21200000,3.763888888888889,1.996309963099631,Poor
2, Not Graduate, Yes,3800000,11400000,16,666, Approved,11800000,11400000,3.0,2.0350877192982457,Good
4, Not Graduate, Yes,9300000,24600000,16,419, Rejected,31800000,18100000,2.6451612903225805,2.0284552845528454,Poor
2, Not Graduate, Yes,7200000,21900000,12,640, Approved,18400000,11400000,3.0416666666666665,1.360730593607306,Fair
0, Graduate, No,7600000,19700000,12,545, Rejected,36800000,9500000,2.5921052631578947,2.350253807106599,Poor
4, Graduate, No,4500000,15300000,10,843, Approved,13000000,20100000,3.4,2.1633986928104574,Excellent
1, Not Graduate, Yes,9900000,30900000,20,559, Approved,50700000,18200000,3.121212121212121,2.2297734627831716,Fair
0, Not Graduate, Yes,700000,2000000,18,650, Approved,3300000,1700000,2.857142857142857,2.5,Fair
0, Graduate, No,3500000,12300000,16,479, Rejected,12600000,15700000,3.5142857142857142,2.3008130081300813,Poor
1, Graduate, Yes,300000,1000000,14,324, Rejected,1200000,200000,3.3333333333333335,1.4,Poor
5, Not Graduate, Yes,5400000,16700000,2,354, Approved,24500000,5600000,3.0925925925925926,1.8023952095808384,Poor
4, Not Graduate, Yes,2800000,8400000,10,521, Rejected,12800000,2700000,3.0,1.8452380952380953,Poor
5, Not Graduate, Yes,4900000,15900000,8,505, Rejected,21000000,17300000,3.2448979591836733,2.408805031446541,Poor
4, Not Graduate, No,600000,1700000,12,436, Rejected,2400000,400000,2.8333333333333335,1.6470588235294117,Poor
0, Graduate, No,3000000,8100000,6,683, Approved,13400000,8100000,2.7,2.654320987654321,Good
0, Graduate, No,1800000,5800000,18,348, Rejected,7700000,3600000,3.2222222222222223,1.9482758620689655,Poor
4, Graduate, Yes,5100000,15700000,6,867, Approved,22800000,19500000,3.0784313725490198,2.694267515923567,Excellent
5, Graduate, No,1400000,4100000,14,880, Approved,4900000,5500000,2.9285714285714284,2.5365853658536586,Excellent
2, Graduate, Yes,6700000,25500000,10,673, Approved,30100000,19700000,3.8059701492537314,1.9529411764705882,Good
3, Not Graduate, No,4300000,12600000,18,482, Rejected,19300000,10200000,2.9302325581395348,2.3412698412698414,Poor
3, Graduate, Yes,7800000,19600000,4,767, Approved,28200000,28600000,2.5128205128205128,2.8979591836734695,Excellent
3, Not Graduate, No,5400000,15800000,18,760, Approved,23600000,15000000,2.925925925925926,2.4430379746835444,Excellent
0, Not Graduate, No,500000,1900000,2,857, Approved,2100000,1600000,3.8,1.9473684210526316,Excellent
1, Graduate, No,8600000,26700000,10,735, Approved,31900000,20900000,3.104651162790698,1.9775280898876404,Good
3, Graduate, No,2500000,9300000,4,810, Approved,13100000,6000000,3.72,2.053763440860215,Excellent
4, Not Graduate, No,3000000,7200000,2,680, Approved,11300000,4300000,2.4,2.1666666666666665,Good
5, Not Graduate, Yes,7000000,26900000,4,889, Approved,29800000,5600000,3.842857142857143,1.3159851301115242,Excellent
1, Not Graduate, Yes,400000,1500000,16,688, Approved,1400000,700000,3.75,1.4,Good
5, Not Graduate, No,5200000,13700000,16,531, Rejected,18600000,13300000,2.6346153846153846,2.3284671532846715,Poor
3, Graduate, No,3300000,11100000,2,660, Approved,16800000,10200000,3.3636363636363638,2.4324324324324325,Good
1, Not Graduate, Yes,2400000,8800000,18,414, Rejected,9600000,5800000,3.6666666666666665,1.75,Poor
4, Graduate, Yes,5800000,15800000,14,528, Rejected,30100000,6400000,2.7241379310344827,2.310126582278481,Poor
4, Not Graduate, Yes,9400000,20000000,12,817, Approved,42400000,5200000,2.127659574468085,2.38,Excellent
2, Not Graduate, No,6100000,15300000,2,799, Approved,23100000,12600000,2.5081967213114753,2.3333333333333335,Excellent
1, Graduate, Yes,7500000,21400000,20,655, Approved,36200000,23300000,2.8533333333333335,2.7803738317757007,Good
2, Not Graduate, No,4100000,16200000,6,546, Rejected,18800000,6600000,3.951219512195122,1.5679012345679013,Poor
3, Not Graduate, No,8500000,30800000,14,745, Approved,26600000,19200000,3.623529411764706,1.4870129870129871,Good
0, Graduate, No,4300000,16900000,8,884, Approved,15700000,11900000,3.9302325581395348,1.6331360946745561,Excellent
5, Not Graduate, No,9300000,22000000,4,822, Approved,36300000,30900000,2.3655913978494625,3.0545454545454547,Excellent
4, Not Graduate, No,6000000,18700000,2,623, Approved,24800000,8300000,3.1166666666666667,1.7700534759358288,Fair
1, Not Graduate, Yes,5300000,18900000,16,361, Rejected,17400000,5300000,3.5660377358490565,1.2010582010582012,Poor
5, Not Graduate, Yes,7400000,16200000,2,778, Approved,28600000,19700000,2.189189189189189,2.9814814814814814,Excellent
1, Not Graduate, Yes,1100000,3800000,8,779, Approved,5600000,2400000,3.4545454545454546,2.1052631578947367,Excellent
1, Graduate, Yes,6600000,20700000,4,594, Approved,35300000,5000000,3.1363636363636362,1.9468599033816425,Fair
3, Graduate, No,8200000,28300000,2,530, Approved,32300000,25500000,3.451219512195122,2.0424028268551235,Poor
3, Not Graduate, No,3300000,9300000,12,324, Rejected,9500000,7900000,2.8181818181818183,1.8709677419354838,Poor
4, Graduate, Yes,2500000,9000000,10,394, Rejected,10300000,8700000,3.6,2.111111111111111,Poor
3, Graduate, Yes,3300000,10400000,12,816, Approved,16700000,13400000,3.1515151515151514,2.894230769230769,Excellent
5, Not Graduate, No,1000000,2300000,16,423, Rejected,4300000,2400000,2.3,2.9130434782608696,Poor
5, Graduate, Yes,6200000,12800000,2,539, Rejected,27100000,15400000,2.064516129032258,3.3203125,Poor
1, Graduate, No,7000000,21000000,20,554, Approved,20200000,23500000,3.0,2.080952380952381,Fair
2, Graduate, Yes,7000000,19000000,6,523, Rejected,35300000,14600000,2.7142857142857144,2.626315789473684,Poor
1, Not Graduate, Yes,5300000,12000000,10,852, Approved,23900000,10800000,2.2641509433962264,2.8916666666666666,Excellent
0, Not Graduate, Yes,1800000,3700000,2,505, Rejected,5900000,6300000,2.0555555555555554,3.2972972972972974,Poor
0, Graduate, Yes,2300000,7900000,10,430, Rejected,10000000,9400000,3.4347826086956523,2.4556962025316458,Poor
2, Graduate, No,4000000,9200000,16,784, Approved,17900000,3800000,2.3,2.358695652173913,Excellent
1, Not Graduate, No,8900000,24000000,6,380, Rejected,35200000,23900000,2.696629213483146,2.4625,Poor
3, Graduate, No,8000000,18600000,20,565, Approved,31900000,10200000,2.325,2.263440860215054,Fair
4, Graduate, Yes,7900000,26900000,14,446, Rejected,24700000,25200000,3.4050632911392404,1.8550185873605949,Poor
5, Graduate, Yes,6700000,20200000,8,406, Rejected,22400000,11800000,3.014925373134328,1.693069306930693,Poor
4, Not Graduate, No,2400000,6000000,6,712, Approved,7200000,9000000,2.5,2.7,Good
4, Not Graduate, No,8600000,22600000,14,729, Approved,32400000,16500000,2.627906976744186,2.163716814159292,Good
1, Not Graduate, Yes,5300000,14600000,20,508, Rejected,21600000,14000000,2.7547169811320753,2.4383561643835616,Poor
0, Graduate, No,7400000,24900000,20,648, Approved,29500000,15000000,3.364864864864865,1.78714859437751,Fair
0, Not Graduate, Yes,8700000,18700000,10,346, Rejected,38900000,3000000,2.1494252873563218,2.2406417112299466,Poor
5, Graduate, No,8200000,18500000,4,394, Rejected,38500000,15300000,2.2560975609756095,2.908108108108108,Poor
0, Not Graduate, Yes,3700000,9700000,12,501, Rejected,13800000,9200000,2.6216216216216215,2.3711340206185567,Poor
5, Not Graduate, Yes,9200000,36300000,2,655, Approved,40900000,4200000,3.9456521739130435,1.2424242424242424,Good
4, Not Graduate, No,6100000,20900000,4,662, Approved,27400000,17200000,3.4262295081967213,2.1339712918660285,Good
2, Graduate, Yes,8800000,30800000,20,820, Approved,38600000,5500000,3.5,1.4318181818181819,Excellent
5, Not Graduate, No,9200000,18900000,10,521, Rejected,30300000,22800000,2.0543478260869565,2.8095238095238093,Poor
3, Graduate, No,7200000,27900000,12,473, Rejected,36500000,29900000,3.875,2.379928315412186,Poor
1, Graduate, No,600000,1200000,10,561, Approved,2000000,1200000,2.0,2.6666666666666665,Fair
5, Graduate, No,8000000,23100000,20,461, Rejected,36500000,8300000,2.8875,1.9393939393939394,Poor
4, Graduate, Yes,6900000,13800000,16,715, Approved,29100000,8200000,2.0,2.7028985507246377,Good
0, Not Graduate, Yes,4300000,15600000,18,440, Rejected,14700000,7500000,3.627906976744186,1.4230769230769231,Poor
3, Not Graduate, Yes,8500000,24900000,18,749, Approved,41800000,10800000,2.929411764705882,2.112449799196787,Good
4, Not Graduate, No,8600000,17400000,2,787, Approved,29000000,22300000,2.0232558139534884,2.9482758620689653,Excellent
3, Graduate, No,6300000,13900000,18,748, Approved,30300000,26500000,2.2063492063492065,4.086330935251799,Good
3, Not Graduate, Yes,5800000,13600000,12,321, Rejected,25700000,5000000,2.3448275862068964,2.2573529411764706,Poor
3, Graduate, Yes,1000000,2300000,10,303, Rejected,3500000,1400000,2.3,2.130434782608696,Poor
0, Not Graduate, Yes,1700000,5400000,8,682, Approved,6000000,3400000,3.176470588235294,1.7407407407407407,Good
2, Not Graduate, No,3200000,8600000,18,638, Approved,12100000,5900000,2.6875,2.0930232558139537,Fair
0, Graduate, Yes,7500000,16600000,14,440, Rejected,34400000,31700000,2.2133333333333334,3.9819277108433737,Poor
1, Not Graduate, Yes,2000000,6600000,10,873, Approved,8700000,1600000,3.3,1.5606060606060606,Excellent
3, Not Graduate, No,9100000,19700000,20,437, Rejected,36600000,20000000,2.1648351648351647,2.8730964467005076,Poor
4, Graduate, Yes,8400000,19700000,8,796, Approved,27900000,27100000,2.3452380952380953,2.7918781725888326,Excellent
4, Graduate, No,7100000,27200000,16,824, Approved,26300000,10400000,3.8309859154929575,1.349264705882353,Excellent
2, Not Graduate, No,200000,800000,6,338, Rejected,500000,100000,4.0,0.75,Poor
0, Not Graduate, Yes,5000000,14900000,12,575, Approved,18900000,14300000,2.98,2.228187919463087,Fair
0, Not Graduate, Yes,4500000,16900000,8,773, Approved,20000000,13100000,3.7555555555555555,1.9585798816568047,Excellent
2, Not Graduate, Yes,5100000,19700000,2,733, Approved,19100000,4500000,3.8627450980392157,1.1979695431472082,Good
3, Graduate, Yes,4100000,10600000,14,475, Rejected,18400000,9700000,2.5853658536585367,2.650943396226415,Poor
1, Not Graduate, No,7200000,15000000,10,677, Approved,28600000,14500000,2.0833333333333335,2.8733333333333335,Good
3, Not Graduate, No,7800000,17700000,6,403, Rejected,34700000,16300000,2.269230769230769,2.8813559322033897,Poor
3, Graduate, Yes,7500000,25300000,12,767, Approved,29000000,24000000,3.3733333333333335,2.0948616600790513,Excellent
